scene_id,layout_id,placements,scene_photo,notes
SC-013,desktop_layout_v1,"[{""position_ids"":[""P1"",""P2"",""P3""],""object_id"":""OBJ-009""},{""position_ids"":[""P4""],""object_id"":""OBJ-010""}]",,
SC-014,desktop_layout_v1,"[{""position_ids"":[""P1"",""P2"",""P3""],""object_id"":""OBJ-009""},{""position_ids"":[""P5""],""object_id"":""OBJ-010""}]",,
SC-015,desktop_layout_v1,"[{""position_ids"":[""P1"",""P2"",""P3""],""object_id"":""OBJ-009""},{""position_ids"":[""P6""],""object_id"":""OBJ-010""}]",,
SC-016,desktop_layout_v1,"[{""position_ids"":[""P5""],""object_id"":""OBJ-011""},{""position_ids"":[""P4""],""object_id"":""OBJ-012""}]",,
SC-017,desktop_layout_v1,"[{""position_ids"":[""P5""],""object_id"":""OBJ-011""},{""position_ids"":[""P5""],""object_id"":""OBJ-012""}]",,
SC-018,desktop_layout_v1,"[{""position_ids"":[""P5""],""object_id"":""OBJ-011""},{""position_ids"":[""P6""],""object_id"":""OBJ-012""}]",,
SC-019,desktop_layout_v1,"[{""position_ids"":[""P4""],""object_id"":""OBJ-013""}]",,
SC-020,desktop_layout_v1,"[{""position_ids"":[""P5""],""object_id"":""OBJ-013""}]",,
SC-021,desktop_layout_v1,"[{""position_ids"":[""P6""],""object_id"":""OBJ-013""}]",,
SC-022,desktop_layout_v1,"[{""position_ids"":[""P4""],""object_id"":""OBJ-014""}]",,
SC-023,desktop_layout_v1,"[{""position_ids"":[""P5""],""object_id"":""OBJ-014""}]",,
SC-024,desktop_layout_v1,"[{""position_ids"":[""P6""],""object_id"":""OBJ-014""}]",,
SC-025,desktop_layout_v1,"[{""position_ids"":[""P4""],""object_id"":""OBJ-015""}]",,
SC-026,desktop_layout_v1,"[{""position_ids"":[""P5""],""object_id"":""OBJ-015""}]",,
SC-027,desktop_layout_v1,"[{""position_ids"":[""P6""],""object_id"":""OBJ-015""}]",,
SC-028,desktop_layout_v1,"[{""position_ids"":[""P4""],""object_id"":""OBJ-016""}]",,
SC-029,desktop_layout_v1,"[{""position_ids"":[""P5""],""object_id"":""OBJ-016""}]",,
SC-030,desktop_layout_v1,"[{""position_ids"":[""P6""],""object_id"":""OBJ-016""}]",,
SC-031,desktop_layout_v1,"[{""position_ids"":[""P4""],""object_id"":""OBJ-017""}]",,
SC-032,desktop_layout_v1,"[{""position_ids"":[""P5""],""object_id"":""OBJ-017""}]",,
SC-033,desktop_layout_v1,"[{""position_ids"":[""P6""],""object_id"":""OBJ-017""}]",,
SC-034,desktop_layout_v1,"[{""position_ids"":[""P4""],""object_id"":""OBJ-018""}]",,
SC-035,desktop_layout_v1,"[{""position_ids"":[""P5""],""object_id"":""OBJ-018""}]",,
SC-036,desktop_layout_v1,"[{""position_ids"":[""P6""],""object_id"":""OBJ-018""}]",,
SC-037,desktop_layout_v1,"[{""position_ids"":[""P4""],""object_id"":""OBJ-019""}]",,
SC-038,desktop_layout_v1,"[{""position_ids"":[""P5""],""object_id"":""OBJ-019""}]",,
SC-039,desktop_layout_v1,"[{""position_ids"":[""P6""],""object_id"":""OBJ-019""}]",,
SC-040,desktop_layout_v1,"[{""position_ids"":[""P4""],""object_id"":""OBJ-020""}]",,
SC-041,desktop_layout_v1,"[{""position_ids"":[""P5""],""object_id"":""OBJ-020""}]",,
SC-042,desktop_layout_v1,"[{""position_ids"":[""P6""],""object_id"":""OBJ-020""}]",,
SC-043,desktop_layout_v1,"[{""position_ids"":[""P4""],""object_id"":""OBJ-021""}]",,
SC-044,desktop_layout_v1,"[{""position_ids"":[""P5""],""object_id"":""OBJ-021""}]",,
SC-045,desktop_layout_v1,"[{""position_ids"":[""P6""],""object_id"":""OBJ-021""}]",,
SC-046,desktop_layout_v1,"[{""position_ids"":[""P4""],""object_id"":""OBJ-022""}]",,
SC-047,desktop_layout_v1,"[{""position_ids"":[""P5""],""object_id"":""OBJ-022""}]",,
SC-048,desktop_layout_v1,"[{""position_ids"":[""P6""],""object_id"":""OBJ-022""}]",,
SC-049,desktop_layout_v1,"[{""position_ids"":[""P4""],""object_id"":""OBJ-023""}]",,
SC-050,desktop_layout_v1,"[{""position_ids"":[""P5""],""object_id"":""OBJ-023""}]",,
SC-051,desktop_layout_v1,"[{""position_ids"":[""P6""],""object_id"":""OBJ-023""}]",,
SC-052,desktop_layout_v1,"[{""position_ids"":[""P4""],""object_id"":""OBJ-002""}]",,
SC-053,desktop_layout_v1,"[{""position_ids"":[""P5""],""object_id"":""OBJ-002""}]",,
SC-054,desktop_layout_v1,"[{""position_ids"":[""P6""],""object_id"":""OBJ-002""}]",,
SC-055,desktop_layout_v1,"[{""position_ids"":[""P4""],""object_id"":""OBJ-004""}]",,
SC-056,desktop_layout_v1,"[{""position_ids"":[""P5""],""object_id"":""OBJ-004""}]",,
SC-057,desktop_layout_v1,"[{""position_ids"":[""P6""],""object_id"":""OBJ-004""}]",,
SC-058,desktop_layout_v1,"[{""position_ids"":[""P4""],""object_id"":""OBJ-008""}]",,
SC-059,desktop_layout_v1,"[{""position_ids"":[""P5""],""object_id"":""OBJ-008""}]",,
SC-060,desktop_layout_v1,"[{""position_ids"":[""P6""],""object_id"":""OBJ-008""}]",,
SC-061,desktop_layout_v1,"[{""position_ids"":[""P4""],""object_id"":""OBJ-024""}]",,
SC-062,desktop_layout_v1,"[{""position_ids"":[""P5""],""object_id"":""OBJ-024""}]",,
SC-063,desktop_layout_v1,"[{""position_ids"":[""P6""],""object_id"":""OBJ-024""}]",,
SC-064,desktop_layout_v1,"[{""position_ids"":[""P4""],""object_id"":""OBJ-025""}]",,
SC-065,desktop_layout_v1,"[{""position_ids"":[""P5""],""object_id"":""OBJ-025""}]",,
SC-066,desktop_layout_v1,"[{""position_ids"":[""P6""],""object_id"":""OBJ-025""}]",,
SC-067,desktop_layout_v1,"[{""position_ids"":[""P4""],""object_id"":""OBJ-026""}]",,
SC-068,desktop_layout_v1,"[{""position_ids"":[""P5""],""object_id"":""OBJ-026""}]",,
SC-069,desktop_layout_v1,"[{""position_ids"":[""P6""],""object_id"":""OBJ-026""}]",,
SC-070,desktop_layout_v1,"[{""position_ids"":[""P1"",""P2"",""P3""],""object_id"":""OBJ-027""}]",,
SC-071,desktop_layout_v1,"[{""position_ids"":[""P4"",""P5"",""P6""],""object_id"":""OBJ-027""}]",,
SC-072,desktop_layout_v1,"[{""position_ids"":[""P7"",""P8"",""P9""],""object_id"":""OBJ-027""}]",,
SC-073,desktop_layout_v1,"[{""position_ids"":[""P1"",""P2"",""P3""],""object_id"":""OBJ-028""}]",,
SC-074,desktop_layout_v1,"[{""position_ids"":[""P4"",""P5"",""P6""],""object_id"":""OBJ-028""}]",,
SC-075,desktop_layout_v1,"[{""position_ids"":[""P7"",""P8"",""P9""],""object_id"":""OBJ-028""}]",,
SC-076,desktop_layout_v1,"[{""position_ids"":[""P5""],""object_id"":""OBJ-029""},{""position_ids"":[""P4""],""object_id"":""OBJ-030""}]",,
SC-077,desktop_layout_v1,"[{""position_ids"":[""P6""],""object_id"":""OBJ-029""},{""position_ids"":[""P5""],""object_id"":""OBJ-030""}]",,
SC-078,desktop_layout_v1,"[{""position_ids"":[""P4""],""object_id"":""OBJ-029""},{""position_ids"":[""P6""],""object_id"":""OBJ-030""}]",,
SC-079,desktop_layout_v1,"[{""position_ids"":[""P4""],""object_id"":""OBJ-029""},{""position_ids"":[""P5""],""object_id"":""OBJ-030""}]",,
SC-080,desktop_layout_v1,"[{""position_ids"":[""P5""],""object_id"":""OBJ-029""},{""position_ids"":[""P6""],""object_id"":""OBJ-030""}]",,
SC-081,desktop_layout_v1,"[{""position_ids"":[""P6""],""object_id"":""OBJ-029""},{""position_ids"":[""P4""],""object_id"":""OBJ-030""}]",,
SC-082,desktop_layout_v1,"[{""position_ids"":[""P4""],""object_id"":""OBJ-031""},{""position_ids"":[""P5""],""object_id"":""OBJ-032""}]",,
SC-083,desktop_layout_v1,"[{""position_ids"":[""P5""],""object_id"":""OBJ-031""},{""position_ids"":[""P6""],""object_id"":""OBJ-032""}]",,
SC-084,desktop_layout_v1,"[{""position_ids"":[""P6""],""object_id"":""OBJ-031""},{""position_ids"":[""P4""],""object_id"":""OBJ-032""}]",,
SC-085,desktop_layout_v1,"[{""position_ids"":[""P5""],""object_id"":""OBJ-031""},{""position_ids"":[""P4""],""object_id"":""OBJ-032""}]",,
SC-086,desktop_layout_v1,"[{""position_ids"":[""P6""],""object_id"":""OBJ-031""},{""position_ids"":[""P5""],""object_id"":""OBJ-032""}]",,
SC-087,desktop_layout_v1,"[{""position_ids"":[""P4""],""object_id"":""OBJ-031""},{""position_ids"":[""P6""],""object_id"":""OBJ-032""}]",,
SC-088,desktop_layout_v1,"[{""position_ids"":[""P1"",""P2"",""P3""],""object_id"":""OBJ-033""}]",,
SC-089,desktop_layout_v1,"[{""position_ids"":[""P4"",""P5"",""P6""],""object_id"":""OBJ-033""}]",,
SC-090,desktop_layout_v1,"[{""position_ids"":[""P7"",""P8"",""P9""],""object_id"":""OBJ-033""}]",,
SC-091,desktop_layout_v1,"[{""position_ids"":[""P4""],""object_id"":""OBJ-034""}]",,
SC-092,desktop_layout_v1,"[{""position_ids"":[""P5""],""object_id"":""OBJ-034""}]",,
SC-093,desktop_layout_v1,"[{""position_ids"":[""P6""],""object_id"":""OBJ-034""}]",,
SC-094,desktop_layout_v1,"[{""position_ids"":[""P1"",""P2"",""P3""],""object_id"":""OBJ-024""}]",,
SC-095,desktop_layout_v1,"[{""position_ids"":[""P4"",""P5"",""P6""],""object_id"":""OBJ-024""}]",,
SC-096,desktop_layout_v1,"[{""position_ids"":[""P7"",""P8"",""P9""],""object_id"":""OBJ-024""}]",,
SC-097,desktop_layout_v1,"[{""position_ids"":[""P1"",""P2"",""P3""],""object_id"":""OBJ-035""},{""position_ids"":[""P4"",""P5"",""P6""],""object_id"":""OBJ-036""}]",,
SC-098,desktop_layout_v1,"[{""position_ids"":[""P4"",""P5"",""P6""],""object_id"":""OBJ-035""},{""position_ids"":[""P5"",""P6"",""P7""],""object_id"":""OBJ-036""}]",,
SC-099,desktop_layout_v1,"[{""position_ids"":[""P4""],""object_id"":""OBJ-037""},{""position_ids"":[""P5""],""object_id"":""OBJ-038""}]",,
SC-100,desktop_layout_v1,"[{""position_ids"":[""P5""],""object_id"":""OBJ-037""},{""position_ids"":[""P6""],""object_id"":""OBJ-038""}]",,
SC-101,desktop_layout_v1,"[{""position_ids"":[""P6""],""object_id"":""OBJ-037""},{""position_ids"":[""P4""],""object_id"":""OBJ-038""}]",,
SC-102,desktop_layout_v1,"[{""position_ids"":[""P5""],""object_id"":""OBJ-037""},{""position_ids"":[""P4""],""object_id"":""OBJ-038""}]",,
SC-103,desktop_layout_v1,"[{""position_ids"":[""P6""],""object_id"":""OBJ-037""},{""position_ids"":[""P5""],""object_id"":""OBJ-038""}]",,
SC-104,desktop_layout_v1,"[{""position_ids"":[""P4""],""object_id"":""OBJ-037""},{""position_ids"":[""P6""],""object_id"":""OBJ-038""}]",,
SC-105,desktop_layout_v1,"[{""position_ids"":[""P4""],""object_id"":""OBJ-039""},{""position_ids"":[""P5""],""object_id"":""OBJ-038""}]",,
SC-106,desktop_layout_v1,"[{""position_ids"":[""P5""],""object_id"":""OBJ-039""},{""position_ids"":[""P6""],""object_id"":""OBJ-038""}]",,
SC-107,desktop_layout_v1,"[{""position_ids"":[""P6""],""object_id"":""OBJ-039""},{""position_ids"":[""P4""],""object_id"":""OBJ-038""}]",,
SC-108,desktop_layout_v1,"[{""position_ids"":[""P5""],""object_id"":""OBJ-039""},{""position_ids"":[""P4""],""object_id"":""OBJ-038""}]",,
SC-109,desktop_layout_v1,"[{""position_ids"":[""P6""],""object_id"":""OBJ-039""},{""position_ids"":[""P5""],""object_id"":""OBJ-038""}]",,
SC-110,desktop_layout_v1,"[{""position_ids"":[""P4""],""object_id"":""OBJ-039""},{""position_ids"":[""P6""],""object_id"":""OBJ-038""}]",,
SC-111,desktop_layout_v1,"[{""position_ids"":[""P4""],""object_id"":""OBJ-012""},{""position_ids"":[""P5""],""object_id"":""OBJ-038""}]",,
SC-112,desktop_layout_v1,"[{""position_ids"":[""P5""],""object_id"":""OBJ-012""},{""position_ids"":[""P6""],""object_id"":""OBJ-038""}]",,
SC-113,desktop_layout_v1,"[{""position_ids"":[""P6""],""object_id"":""OBJ-012""},{""position_ids"":[""P4""],""object_id"":""OBJ-038""}]",,
SC-114,desktop_layout_v1,"[{""position_ids"":[""P5""],""object_id"":""OBJ-012""},{""position_ids"":[""P4""],""object_id"":""OBJ-038""}]",,
SC-115,desktop_layout_v1,"[{""position_ids"":[""P6""],""object_id"":""OBJ-012""},{""position_ids"":[""P5""],""object_id"":""OBJ-038""}]",,
SC-116,desktop_layout_v1,"[{""position_ids"":[""P4""],""object_id"":""OBJ-012""},{""position_ids"":[""P6""],""object_id"":""OBJ-038""}]",,
SC-117,desktop_layout_v1,"[{""position_ids"":[""P7""],""object_id"":""OBJ-040""},{""position_ids"":[""P8""],""object_id"":""OBJ-041""},{""position_ids"":[""P9""],""object_id"":""OBJ-042""}]",,
SC-118,desktop_layout_v1,"[{""position_ids"":[""P7""],""object_id"":""OBJ-042""},{""position_ids"":[""P8""],""object_id"":""OBJ-041""},{""position_ids"":[""P9""],""object_id"":""OBJ-040""}]",,
SC-119,desktop_layout_v1,"[{""position_ids"":[""P7""],""object_id"":""OBJ-040""},{""position_ids"":[""P8""],""object_id"":""OBJ-041""},{""position_ids"":[""P9""],""object_id"":""OBJ-043""}]",,
SC-120,desktop_layout_v1,"[{""position_ids"":[""P7""],""object_id"":""OBJ-043""},{""position_ids"":[""P8""],""object_id"":""OBJ-041""},{""position_ids"":[""P9""],""object_id"":""OBJ-040""}]",,
SC-121,desktop_layout_v1,"[{""position_ids"":[""P7""],""object_id"":""OBJ-040""},{""position_ids"":[""P8""],""object_id"":""OBJ-041""},{""position_ids"":[""P9""],""object_id"":""OBJ-044""}]",,
SC-122,desktop_layout_v1,"[{""position_ids"":[""P7""],""object_id"":""OBJ-044""},{""position_ids"":[""P8""],""object_id"":""OBJ-041""},{""position_ids"":[""P9""],""object_id"":""OBJ-040""}]",,
SC-123,desktop_layout_v1,"[{""position_ids"":[""P4""],""object_id"":""OBJ-045""}]",,
SC-124,desktop_layout_v1,"[{""position_ids"":[""P5""],""object_id"":""OBJ-045""}]",,
SC-125,desktop_layout_v1,"[{""position_ids"":[""P6""],""object_id"":""OBJ-045""}]",,
SC-126,desktop_layout_v1,"[{""position_ids"":[""P4""],""object_id"":""OBJ-046""}]",,
SC-127,desktop_layout_v1,"[{""position_ids"":[""P5""],""object_id"":""OBJ-046""}]",,
SC-128,desktop_layout_v1,"[{""position_ids"":[""P6""],""object_id"":""OBJ-046""}]",,
